Hidden Dimensions,train_accuracy,val_accuracy,test_accuracy
1,0.1625514403292181,0.1851851851851851,0.2
3,0.242798353909465,0.2592592592592592,0.2166666666666666
4,0.2983539094650205,0.2407407407407407,0.25
5,0.2757201646090535,0.1481481481481481,0.3166666666666666
6,0.4074074074074074,0.2777777777777778,0.3333333333333333
7,0.4526748971193415,0.3703703703703703,0.3333333333333333
8,0.5185185185185185,0.3148148148148148,0.3833333333333333
9,0.4938271604938271,0.4074074074074074,0.4
10,0.5617283950617284,0.3518518518518518,0.4833333333333333
12,0.588477366255144,0.2777777777777778,0.3333333333333333
14,0.7345679012345679,0.3333333333333333,0.4666666666666667
16,0.7942386831275721,0.3518518518518518,0.5333333333333333
18,0.8662551440329218,0.3888888888888889,0.5166666666666667
20,0.823045267489712,0.4259259259259259,0.4666666666666667
22,0.8045267489711934,0.3333333333333333,0.5666666666666667
24,0.7983539094650206,0.3518518518518518,0.6
26,0.8127572016460906,0.3148148148148148,0.4833333333333333
28,0.9300411522633744,0.4074074074074074,0.55
30,0.9074074074074074,0.4259259259259259,0.5166666666666667
32,0.9609053497942388,0.3333333333333333,0.45
34,0.9938271604938272,0.3703703703703703,0.4666666666666667
36,0.9897119341563786,0.3518518518518518,0.5166666666666667
38,0.9753086419753086,0.2777777777777778,0.4666666666666667
40,0.9835390946502056,0.4814814814814814,0.5
42,0.9938271604938272,0.3703703703703703,0.5
44,1.0,0.3888888888888889,0.4833333333333333
46,0.9691358024691358,0.2962962962962963,0.4833333333333333
48,0.9979423868312756,0.4259259259259259,0.55
50,0.9979423868312756,0.3333333333333333,0.55
52,1.0,0.3333333333333333,0.5333333333333333
54,0.9958847736625516,0.3333333333333333,0.6333333333333333
56,1.0,0.3703703703703703,0.4833333333333333
58,1.0,0.4444444444444444,0.5833333333333334
60,1.0,0.2962962962962963,0.5333333333333333
62,1.0,0.3888888888888889,0.5333333333333333
64,1.0,0.4259259259259259,0.5666666666666667
68,1.0,0.4259259259259259,0.4333333333333333
70,0.9958847736625516,0.4259259259259259,0.5333333333333333
72,1.0,0.4074074074074074,0.5166666666666667
74,1.0,0.3148148148148148,0.5666666666666667
76,1.0,0.3888888888888889,0.5333333333333333
78,1.0,0.3888888888888889,0.5666666666666667
80,1.0,0.4259259259259259,0.5166666666666667
82,1.0,0.4074074074074074,0.5833333333333334
84,1.0,0.3333333333333333,0.55
86,1.0,0.4074074074074074,0.5333333333333333
88,1.0,0.3703703703703703,0.5166666666666667
90,1.0,0.3703703703703703,0.5666666666666667
92,1.0,0.3703703703703703,0.5166666666666667
94,1.0,0.3333333333333333,0.4666666666666667
96,1.0,0.4074074074074074,0.55
98,1.0,0.3703703703703703,0.5166666666666667
100,1.0,0.4444444444444444,0.5166666666666667
110,1.0,0.3518518518518518,0.55
120,1.0,0.3518518518518518,0.5833333333333334
200,1.0,0.3888888888888889,0.5666666666666667
250,1.0,0.3888888888888889,0.5666666666666667
300,1.0,0.3518518518518518,0.5666666666666667
350,1.0,0.3333333333333333,0.5666666666666667
400,1.0,0.3703703703703703,0.6166666666666667
450,1.0,0.3518518518518518,0.6
500,1.0,0.4259259259259259,0.6
550,1.0,0.3888888888888889,0.6166666666666667
600,1.0,0.4259259259259259,0.6
650,1.0,0.4444444444444444,0.6
700,1.0,0.4074074074074074,0.6166666666666667
750,1.0,0.4259259259259259,0.6
800,1.0,0.4444444444444444,0.5666666666666667
850,1.0,0.4444444444444444,0.5833333333333334
900,1.0,0.4444444444444444,0.6
950,1.0,0.4814814814814814,0.5833333333333334
1000,1.0,0.3888888888888889,0.6
