Hidden Dimensions,train_accuracy,val_accuracy,test_accuracy
1,0.6437368579152899,0.581081081081081,0.6909975669099757
2,0.7194352658455992,0.7027027027027027,0.6958637469586375
3,0.7455692400120156,0.6513513513513514,0.754257907542579
4,0.7671973565635326,0.7135135135135136,0.7566909975669099
5,0.7966356263142085,0.7486486486486487,0.7956204379562044
6,0.8200660859116852,0.7378378378378379,0.8199513381995134
7,0.8462000600781016,0.7486486486486487,0.8248175182481752
8,0.8732352057674978,0.7891891891891892,0.8223844282238443
9,0.8765395013517573,0.7621621621621621,0.829683698296837
10,0.8726344247521778,0.7702702702702703,0.8175182481751825
12,0.9170922198858515,0.772972972972973,0.8272506082725061
14,0.9495343947131272,0.772972972972973,0.8077858880778589
16,0.9324121357765096,0.7891891891891892,0.8223844282238443
18,0.9495343947131272,0.7756756756756756,0.8321167883211679
20,0.972063682787624,0.8135135135135135,0.851581508515815
22,0.9726644638029438,0.7756756756756756,0.8150851581508516
24,0.9819765695404026,0.8108108108108109,0.8248175182481752
26,0.9834785220787025,0.7810810810810811,0.8102189781021898
28,0.9882847702012616,0.8189189189189189,0.8077858880778589
30,0.9903875037548814,0.7810810810810811,0.8248175182481752
32,0.992790627816161,0.8108108108108109,0.8004866180048662
34,0.992490237308501,0.8216216216216217,0.8175182481751825
40,0.9969960949234004,0.8054054054054054,0.8175182481751825
42,0.9978972664463804,0.8297297297297297,0.8369829683698297
44,0.9975968759387204,0.7864864864864864,0.8369829683698297
46,0.9975968759387204,0.8216216216216217,0.8418491484184915
48,0.9981976569540404,0.8162162162162162,0.8442822384428224
50,0.9975968759387204,0.8108108108108109,0.8272506082725061
52,0.9975968759387204,0.8189189189189189,0.8175182481751825
54,0.9960949234004204,0.8162162162162162,0.8175182481751825
56,0.9978972664463804,0.8162162162162162,0.8467153284671532
58,0.9987984379693602,0.8108108108108109,0.8540145985401459
60,0.9981976569540404,0.8135135135135135,0.7980535279805353
62,0.9978972664463804,0.8189189189189189,0.8345498783454988
64,0.9978972664463804,0.8,0.8102189781021898
66,0.9972964854310604,0.8189189189189189,0.8345498783454988
68,0.9969960949234004,0.8189189189189189,0.8223844282238443
70,0.9972964854310604,0.8108108108108109,0.8223844282238443
72,0.9981976569540404,0.8162162162162162,0.8199513381995134
74,0.9975968759387204,0.8324324324324325,0.8175182481751825
76,0.9975968759387204,0.8189189189189189,0.829683698296837
78,0.9972964854310604,0.8054054054054054,0.8248175182481752
80,0.9987984379693602,0.8108108108108109,0.8175182481751825
90,0.9981976569540404,0.8243243243243243,0.8248175182481752
100,0.9975968759387204,0.8351351351351352,0.8345498783454988
200,0.9984980474617002,0.8189189189189189,0.8418491484184915
300,0.9981976569540404,0.7945945945945946,0.8272506082725061
400,0.9984980474617002,0.8405405405405405,0.8150851581508516
500,0.9978972664463804,0.8351351351351352,0.8199513381995134
600,0.9984980474617002,0.8378378378378378,0.8102189781021898
700,0.9981976569540404,0.8,0.8004866180048662
800,0.9978972664463804,0.7945945945945946,0.8004866180048662
900,0.9978972664463804,0.8,0.7980535279805353
1000,0.9978972664463804,0.8081081081081081,0.8223844282238443
