Hidden Dimensions,train_accuracy,val_accuracy,test_accuracy
1,0.1963111111111111,0.2032,0.1938
2,0.2599111111111111,0.2622,0.2611
3,0.3052,0.3054,0.3022
4,0.3480222222222222,0.3438,0.3465
5,0.3733777777777777,0.3592,0.3623
6,0.4114888888888889,0.4116,0.4147
7,0.4214888888888889,0.4138,0.4146
8,0.4485777777777778,0.4522,0.4484
9,0.4593777777777778,0.4482,0.4537
10,0.4669555555555555,0.4754,0.4681
12,0.5145333333333333,0.506,0.4929
14,0.5302444444444444,0.5172,0.5034
16,0.5476444444444445,0.5264,0.5197
18,0.5592222222222222,0.5324,0.523
20,0.5819111111111112,0.5488,0.5285
22,0.5827555555555556,0.5308,0.5266
25,0.6074888888888889,0.5494,0.5413
30,0.6612666666666667,0.5606,0.5424
35,0.6799111111111111,0.5444,0.5446
40,0.7222444444444445,0.5344,0.5274
45,0.7358666666666667,0.5454,0.5396
55,0.8146444444444444,0.5454,0.5233
60,0.8669333333333333,0.542,0.5384
65,0.9131111111111112,0.5364,0.5321
70,0.9450888888888888,0.5314,0.5233
75,0.9638,0.531,0.522
80,0.9675111111111112,0.5366,0.5329
85,0.9844,0.5256,0.5256
90,0.9934,0.5456,0.5332
95,0.9970666666666668,0.5444,0.539
100,0.9979333333333332,0.5334,0.5355
105,0.9982,0.5432,0.5346
110,0.9993333333333332,0.5414,0.5364
115,0.9996444444444444,0.5576,0.5515
120,0.9996666666666668,0.5554,0.553
125,0.9998,0.552,0.5523
130,0.9998444444444444,0.5606,0.5538
135,0.9999555555555556,0.5654,0.5507
140,0.9999555555555556,0.5674,0.5545
145,0.9999777777777776,0.5634,0.5634
155,1.0,0.5716,0.5622
200,1.0,0.582,0.5679
300,1.0,0.5854,0.5839
500,1.0,0.6054,0.5958
600,1.0,0.6162,0.5984
700,1.0,0.6146,0.6026
800,1.0,0.613,0.603
900,1.0,0.6116,0.6018
1000,1.0,0.6168,0.6078
