Hidden Dimensions,train_accuracy,val_accuracy,test_accuracy
1,0.1745111111111111,0.1744,0.1768
2,0.2208,0.2252,0.2319
3,0.2357777777777777,0.2288,0.2391
4,0.2741555555555555,0.2706,0.2747
5,0.3044666666666666,0.2882,0.295
6,0.3254666666666667,0.3232,0.3277
7,0.3336444444444444,0.3266,0.336
8,0.3729333333333333,0.3554,0.3495
9,0.3628888888888888,0.3508,0.3614
10,0.388,0.375,0.3781
12,0.4117555555555555,0.3878,0.3923
14,0.4207777777777777,0.4034,0.4028
16,0.4388,0.4068,0.4097
18,0.4518888888888889,0.4164,0.4076
20,0.4626222222222222,0.4246,0.4158
25,0.4786666666666667,0.4048,0.4041
30,0.5006666666666667,0.4052,0.4095
35,0.5413555555555556,0.4002,0.3971
40,0.5454444444444444,0.4036,0.4013
45,0.5941555555555555,0.4124,0.4066
50,0.6203111111111111,0.4012,0.3872
55,0.6433333333333333,0.394,0.3871
60,0.6741555555555555,0.3886,0.3801
65,0.7242666666666666,0.3772,0.3655
70,0.7672888888888889,0.3676,0.3649
75,0.7876,0.3608,0.3665
80,0.8443555555555555,0.3472,0.3568
85,0.8828444444444444,0.3446,0.3422
90,0.9047777777777778,0.351,0.336
95,0.9593333333333334,0.3466,0.3382
100,0.9726,0.3474,0.34
105,0.9803333333333332,0.3502,0.3423
110,0.9886,0.3464,0.3398
120,0.9948,0.3416,0.355
130,0.9987111111111112,0.3574,0.3488
140,0.9989555555555556,0.3534,0.3491
150,0.9997111111111112,0.3638,0.3502
160,0.9997777777777778,0.36,0.3527
170,0.9999333333333332,0.367,0.3619
180,0.9999555555555556,0.376,0.3673
190,1.0,0.3736,0.3729
200,1.0,0.3764,0.371
300,0.9999777777777776,0.3884,0.3848
400,1.0,0.3988,0.3892
500,1.0,0.3996,0.4019
600,1.0,0.4204,0.4029
700,1.0,0.4176,0.407
800,1.0,0.4206,0.4125
900,1.0,0.4112,0.4093
1000,1.0,0.4282,0.4121
