Hidden Dimensions,train_accuracy,val_accuracy,test_accuracy
1,0.2374181818181818,0.242,0.2413
2,0.3212,0.323,0.3236
3,0.3856181818181818,0.389,0.391
4,0.4484363636363636,0.4476,0.4602
5,0.4872909090909091,0.4844,0.4958
6,0.5212363636363636,0.5308,0.528
7,0.5333272727272728,0.5382,0.5377
8,0.5953272727272727,0.5964,0.5987
9,0.6164181818181819,0.613,0.6244
10,0.6049818181818182,0.601,0.6073
12,0.6640181818181818,0.6568,0.6663
14,0.6924,0.684,0.6927
16,0.7041090909090909,0.693,0.7021
18,0.7192727272727273,0.7072,0.7083
20,0.7156727272727272,0.7022,0.704
22,0.7254181818181819,0.7076,0.712
25,0.7353454545454545,0.7162,0.7195
30,0.7537090909090909,0.7152,0.7206
35,0.7555636363636363,0.7172,0.7187
40,0.7615454545454545,0.7032,0.7124
45,0.7707090909090909,0.708,0.7102
50,0.7641818181818182,0.704,0.7161
55,0.7864181818181818,0.692,0.6988
60,0.787309090909091,0.6888,0.6956
70,0.8126727272727273,0.6706,0.6719
80,0.8271636363636363,0.6592,0.6653
90,0.8862,0.6342,0.6411
100,0.8800181818181818,0.6332,0.6404
120,0.9016727272727272,0.62,0.6334
140,0.9438181818181818,0.6276,0.6278
150,0.9975818181818182,0.613,0.619
160,0.9984545454545456,0.6132,0.6209
200,0.9999636363636364,0.6296,0.6296
300,1.0,0.6374,0.6428
400,1.0,0.6436,0.6495
500,1.0,0.6482,0.6645
600,1.0,0.6578,0.6659
700,0.9999818181818182,0.6568,0.6702
800,1.0,0.6616,0.6773
900,1.0,0.6644,0.6749
1000,1.0,0.662,0.6789
