Hidden Dimensions,train_accuracy,val_accuracy,test_accuracy
1,0.2963818181818182,0.289,0.2798
2,0.3952727272727273,0.3964,0.4063
3,0.4762,0.4728,0.4563
4,0.5632363636363636,0.5722,0.5736
5,0.6172181818181818,0.634,0.6312
6,0.6347636363636364,0.625,0.633
7,0.6885636363636364,0.7016,0.7021
8,0.7568181818181818,0.7354,0.7379
9,0.7378545454545454,0.7394,0.737
10,0.8330545454545455,0.8216,0.8178
12,0.8641454545454545,0.8538,0.8549
14,0.8995636363636363,0.8836,0.8823
16,0.9092727272727272,0.889,0.8919
18,0.9266363636363636,0.8998,0.9006
20,0.9285818181818182,0.9032,0.903
25,0.9573090909090908,0.909,0.9144
30,0.9752545454545456,0.9142,0.9179
35,0.9921272727272727,0.9116,0.9183
40,0.9985818181818182,0.9194,0.9173
45,0.9996909090909092,0.9318,0.9251
50,0.9999272727272728,0.9262,0.9271
55,1.0,0.942,0.9394
60,1.0,0.9304,0.9294
65,1.0,0.9376,0.9352
70,1.0,0.937,0.9418
75,1.0,0.9442,0.9407
80,1.0,0.943,0.943
85,1.0,0.9458,0.9437
90,1.0,0.9458,0.9454
95,1.0,0.9474,0.9451
100,1.0,0.953,0.9491
105,1.0,0.9488,0.9506
110,1.0,0.9532,0.9493
115,1.0,0.9518,0.9484
120,1.0,0.9502,0.9498
130,1.0,0.9504,0.9503
140,1.0,0.9536,0.9505
150,1.0,0.9552,0.9501
160,1.0,0.9528,0.9519
170,1.0,0.9536,0.9505
180,1.0,0.9528,0.9525
190,1.0,0.9588,0.9527
200,1.0,0.956,0.9566
300,1.0,0.9538,0.9548
400,1.0,0.9588,0.9547
500,1.0,0.9564,0.9565
600,1.0,0.9598,0.9556
700,1.0,0.9556,0.9539
800,1.0,0.9562,0.9539
900,1.0,0.9586,0.9564
1000,1.0,0.956,0.9533
