Hidden Dimensions,train_accuracy,val_accuracy,test_accuracy
1,0.69874715261959,0.7161125319693095,0.7119815668202765
2,0.7870159453302962,0.7442455242966752,0.7695852534562212
3,0.7770501138952164,0.7621483375959079,0.7488479262672811
4,0.8038154897494305,0.7928388746803069,0.7972350230414746
5,0.8095102505694761,0.7672634271099744,0.7926267281105991
6,0.8394077448747153,0.7851662404092071,0.8317972350230415
8,0.8516514806378133,0.7953964194373402,0.7788018433179723
9,0.8613325740318907,0.8132992327365729,0.8064516129032258
10,0.8599088838268792,0.7800511508951407,0.8064516129032258
12,0.8804100227790432,0.8516624040920716,0.836405529953917
14,0.8946469248291572,0.7979539641943734,0.8317972350230415
16,0.9131548974943052,0.8184143222506394,0.8525345622119815
18,0.922266514806378,0.8158567774936062,0.8387096774193549
20,0.9251138952164008,0.8184143222506394,0.836405529953917
22,0.9490318906605922,0.8337595907928389,0.8271889400921659
26,0.9607061503416856,0.8184143222506394,0.8433179723502304
28,0.95501138952164,0.8286445012787724,0.8202764976958525
30,0.9772209567198178,0.8184143222506394,0.8456221198156681
32,0.9629840546697038,0.8363171355498721,0.8294930875576036
34,0.958997722095672,0.8209718670076727,0.8433179723502304
36,0.9763667425968108,0.8312020460358056,0.8594470046082949
38,0.975512528473804,0.8286445012787724,0.8133640552995391
40,0.9866173120728928,0.8260869565217391,0.8341013824884793
42,0.9792141230068336,0.8184143222506394,0.8387096774193549
44,0.9860478359908884,0.7979539641943734,0.8271889400921659
46,0.9806378132118452,0.8132992327365729,0.8594470046082949
48,0.991742596810934,0.8107416879795396,0.847926267281106
50,0.987756264236902,0.8081841432225064,0.8456221198156681
52,0.996867881548975,0.8184143222506394,0.8456221198156681
54,0.9931662870159452,0.8439897698209718,0.836405529953917
56,0.9920273348519362,0.8260869565217391,0.8525345622119815
58,0.9945899772209568,0.8184143222506394,0.8456221198156681
60,0.998006833712984,0.8337595907928389,0.836405529953917
62,0.9934510250569476,0.8209718670076727,0.8571428571428571
64,0.994874715261959,0.8286445012787724,0.8502304147465438
66,0.996867881548975,0.8439897698209718,0.8387096774193549
68,0.9891799544419134,0.8056265984654731,0.836405529953917
70,0.9951594533029612,0.8158567774936062,0.8387096774193549
72,0.9965831435079726,0.8184143222506394,0.8433179723502304
74,0.9962984054669703,0.8107416879795396,0.8317972350230415
76,0.9985763097949886,0.8235294117647058,0.836405529953917
78,0.9971526195899773,0.8337595907928389,0.8594470046082949
80,0.996867881548975,0.8312020460358056,0.8433179723502304
90,0.9982915717539864,0.8132992327365729,0.8456221198156681
100,0.998006833712984,0.8184143222506394,0.8571428571428571
110,0.9977220956719818,0.8056265984654731,0.8571428571428571
120,0.998006833712984,0.8132992327365729,0.8341013824884793
200,0.9985763097949886,0.8158567774936062,0.847926267281106
300,0.9965831435079726,0.8081841432225064,0.8456221198156681
400,0.996013667425968,0.80306905370844,0.8410138248847926
500,0.9962984054669703,0.8056265984654731,0.8548387096774194
600,0.9954441913439636,0.7877237851662404,0.8294930875576036
700,0.9943052391799544,0.8005115089514067,0.8456221198156681
800,0.9903189066059226,0.8056265984654731,0.8502304147465438
900,0.9923120728929384,0.7800511508951407,0.8341013824884793
1000,0.9943052391799544,0.8081841432225064,0.8594470046082949
